id,ra,dec,ra_mag,dec_mag
28527,5.202681,80.524017,5.299812,80.516113
28528,5.320631,80.543343,5.417413,80.535187
28529,5.262695,80.546669,5.359511,80.538544
28530,4.919119,80.48259,5.018137,80.474976
28531,5.054442,80.499863,5.1541,80.492325
28532,4.78334,80.440536,4.878396,80.433334
28533,4.841705,80.465721,4.93804,80.457687
28534,4.211494,80.71833,4.315582,80.709717
28535,4.761761,80.473038,4.857564,80.465073
28536,4.737319,80.470284,4.827599,80.462112
28537,3.397492,80.405594,3.484288,80.397354
28538,3.679441,80.404869,3.769134,80.397049
28539,3.682707,80.399933,3.773022,80.392143
28540,3.653415,80.397133,3.743239,80.389374
28541,4.990277,80.665436,5.095233,80.656921
28542,4.944194,80.670937,5.048836,80.662193
28543,5.144147,80.67038,5.246842,80.661446
28544,5.14846,80.670769,5.251664,80.66185
28545,5.085498,80.672707,5.188219,80.663765
20828236,11.651781,80.151894,11.730862,80.144691
20828237,11.541026,80.13739,11.623417,80.129707
20828238,11.623046,80.187302,11.703626,80.181053
20828239,11.582371,80.1828,11.663234,80.176231
20828240,11.695582,80.197914,11.774035,80.192009
20828241,11.695339,80.198029,11.774035,80.192024
20828242,11.725112,80.202797,11.803602,80.196877
20828243,10.995444,80.516022,11.083013,80.51091
20828244,11.058555,80.508774,11.146058,80.503662
20828245,11.198263,80.502686,11.287116,80.497475
20828246,11.131094,80.491661,11.219162,80.486671
20828247,11.135852,80.484962,11.224451,80.480392
20828248,11.108065,80.485802,11.196671,80.481239
20828249,11.096539,80.486366,11.184838,80.481743
20828250,11.19378,80.497131,11.282581,80.491943
20828251,11.111581,80.547119,11.198531,80.541145
20828252,11.140604,80.486023,11.229213,80.481468
20828253,11.163812,80.48851,11.253398,80.48365
20828254,11.183207,80.488945,11.272409,80.484085
20828255,11.114245,80.486259,11.20306,80.481712
20828256,11.096904,80.477509,11.185764,80.473366
15057721,3.837404,80.47377,3.923707,80.465027
15057722,3.873186,80.475929,3.959508,80.467178
